fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X445.3296_3.2_3195,X732.5512_3.71_9851,,X393.2991_3.16_2860,X142.9479_0.3_6723,X123.0553_0.3_4171,X185.9595_0.25_1537,X590.3197_2.86_9649,X311.1611_3_8024,X369.1813_2.93_9633,,X331.6742_2.99_8022,X657.2011_2.71_8426,X605.314_4.01_10145,X512.3336_2.81_5890,X732.5512_3.71_9851,X185.9595_0.25_1537,X249.1119_2.35_9523,X526.2913_2.85_4038,X526.2913_2.85_4038,X864.5688_3.55_9342,X447.3453_3.29_3028,X142.9479_0.3_6723,X451.3773_3.42_7996,X395.2756_3.01_9810,X276.1584_2.95_9190,X447.3453_3.29_3028,X331.6742_2.99_8022,X419.3503_3.41_3241,X395.2756_3.01_9810,X500.2758_2.81_7384,X451.3773_3.42_7996,X1061.6514_2.86_9038,,X566.3202_2.87_8042,X478.2913_2.85_6377
X395.3142_3.19_4506,X791.5394_4.11_9746,,X447.3453_3.29_3028,X478.2913_2.85_6377,X185.9595_0.25_1537,X445.3296_3.2_3195,X455.3329_3.21_9071,X590.3197_2.86_9649,X511.3592_3.32_10116,,X510.3905_3.03_3063,X778.5329_3.62_8278,X369.1813_2.93_9633,X421.3298_3.28_3222,X419.3503_3.41_3241,X673.5249_3.3_9841,X427.2309_2.56_4479,X185.9595_0.25_1537,X185.9595_0.25_1537,X764.6159_4.78_9837,X369.1813_2.93_9633,X478.2913_2.85_6377,X447.3453_3.29_3028,X276.1584_2.95_9190,X510.3905_3.03_3063,X311.1611_3_8024,X447.3453_3.29_3028,X258.1125_2.19_8597,X510.3905_3.03_3063,X395.2756_3.01_9810,X331.6742_2.99_8022,X590.3197_2.86_9649,,X478.2913_2.85_6377,X526.2913_2.85_4038
X393.2991_3.16_2860,X263.127_2.42_2465,,X369.1813_2.93_9633,X1015.6683_2.89_8001,X778.5329_3.62_8278,X395.3142_3.19_4506,X142.9479_0.3_6723,X455.3329_3.21_9071,X606.4474_3.26_3184,,X477.3925_3.41_3134,X732.5512_3.71_9851,X258.1125_2.19_8597,X320.1664_3_8043,X258.1125_2.19_8597,X348.1756_0.4_5032,X265.1044_2.33_9783,X309.6628_3_9216,X348.1756_0.4_5032,X806.5504_3.26_8078,X511.3592_3.32_10116,X274.1757_2.17_6453,X142.9479_0.3_6723,X447.3453_3.29_3028,X657.2011_2.71_8426,X478.2913_2.85_6377,X778.5329_3.62_8278,,X657.2011_2.71_8426,X532.336_2.95_9135,X510.3905_3.03_3063,X123.0553_0.3_4171,,X526.2913_2.85_4038,X732.5512_3.71_9851
X511.3592_3.32_10116,X449.3243_2.78_3090,,X511.3592_3.32_10116,X274.1757_2.17_6453,X732.5512_3.71_9851,X393.2991_3.16_2860,X123.0553_0.3_4171,X478.2913_2.85_6377,X256.2261_3.39_3941,,X447.3453_3.29_3028,X605.314_4.01_10145,,X395.2756_3.01_9810,X511.3592_3.32_10116,X395.3142_3.19_4506,X263.127_2.42_2465,X778.5329_3.62_8278,X395.3142_3.19_4506,X272.2573_2.71_552,,X365.2672_3.09_7645,X123.0553_0.3_4171,X681.8574_2.22_9039,X1061.6514_2.86_9038,X274.1757_2.17_6453,X732.5512_3.71_9851,,X477.3925_3.41_3134,X451.3773_3.42_7996,X477.3925_3.41_3134,X526.2913_2.85_4038,,X732.5512_3.71_9851,X848.5743_3.6_10208
,X463.3034_2.63_3031,,,X365.2672_3.09_7645,X369.1813_2.93_9633,X732.5512_3.71_9851,X478.2913_2.85_6377,X526.2913_2.85_4038,X142.9479_0.3_6723,,X311.1611_3_8024,X369.1813_2.93_9633,,X510.3905_3.03_3063,X185.9595_0.25_1537,X256.2261_3.39_3941,X449.2135_2.6_8631,X732.5512_3.71_9851,X393.2991_3.16_2860,X348.1756_0.4_5032,,X445.3293_3.09_2249,X272.2573_2.71_552,X455.3329_3.21_9071,X590.3197_2.86_9649,X365.2672_3.09_7645,X419.3503_3.41_3241,,X447.3453_3.29_3028,X331.6742_2.99_8022,X447.3453_3.29_3028,X732.5512_3.71_9851,,X848.5743_3.6_10208,X317.246_3.15_4787
,X864.5688_3.55_9342,,,X445.3293_3.09_2249,X258.1125_2.19_8597,X369.1813_2.93_9633,X526.2913_2.85_4038,X732.5512_3.71_9851,X123.0553_0.3_4171,,X142.9479_0.3_6723,X258.1125_2.19_8597,,X477.3925_3.41_3134,X673.5249_3.3_9841,X393.2991_3.16_2860,X322.1756_2.23_2104,X791.5394_4.11_9746,X732.5512_3.71_9851,X778.5329_3.62_8278,,X477.2091_2.38_6951,X309.6628_3_9216,X142.9479_0.3_6723,X455.3329_3.21_9071,X445.3293_3.09_2249,X258.1125_2.19_8597,,X1061.6514_2.86_9038,X510.3905_3.03_3063,X1061.6514_2.86_9038,X848.5743_3.6_10208,,X317.246_3.15_4787,X449.3243_2.78_3090
,X463.3034_2.76_4008,,,X477.2091_2.38_6951,X511.3592_3.32_10116,X258.1125_2.19_8597,X732.5512_3.71_9851,X791.5394_4.11_9746,X605.314_4.01_10145,,X478.2913_2.85_6377,,,X447.3453_3.29_3028,X348.1756_0.4_5032,X309.6628_3_9216,X395.2046_2.63_6321,X263.127_2.42_2465,X791.5394_4.11_9746,X791.5394_4.11_9746,,X249.1119_2.35_9523,X778.5329_3.62_8278,X123.0553_0.3_4171,X142.9479_0.3_6723,X477.2091_2.38_6951,,,X590.3197_2.86_9649,X447.3453_3.29_3028,X311.1611_3_8024,X317.246_3.15_4787,,X449.3243_2.78_3090,X463.3034_2.63_3031
,X449.3245_2.85_3249,,,X249.1119_2.35_9523,,X511.3592_3.32_10116,X848.5743_3.6_10208,X263.127_2.42_2465,,,X274.1757_2.17_6453,,,X1061.6514_2.86_9038,X606.4474_3.26_3184,X447.3453_3.29_3028,X677.5479_4.09_9570,X369.1813_2.93_9633,X263.127_2.42_2465,X263.127_2.42_2465,,X427.2309_2.56_4479,X732.5512_3.71_9851,X272.2573_2.71_552,X123.0553_0.3_4171,X249.1119_2.35_9523,,,X455.3329_3.21_9071,X1061.6514_2.86_9038,X590.3197_2.86_9649,X864.5688_3.55_9342,,X463.3034_2.63_3031,X864.5688_3.55_9342
,X766.6305_4.8_9226,,,X427.2309_2.56_4479,,,X317.246_3.15_4787,X449.3243_2.78_3090,,,X365.2672_3.09_7645,,,X311.1611_3_8024,X256.2261_3.39_3941,X791.5394_4.11_9746,X283.1148_2.23_9537,X449.3243_2.78_3090,X369.1813_2.93_9633,X369.1813_2.93_9633,,X265.1044_2.33_9783,X419.3503_3.41_3241,X445.3296_3.2_3195,X478.2913_2.85_6377,X427.2309_2.56_4479,,,X478.2913_2.85_6377,X311.1611_3_8024,X778.5329_3.62_8278,X764.6159_4.78_9837,,X864.5688_3.55_9342,X449.3245_2.85_3249
,X445.2936_2.97_4175,,,X265.1044_2.33_9783,,,X449.3243_2.78_3090,X463.3034_2.63_3031,,,X445.3293_3.09_2249,,,X590.3197_2.86_9649,X142.9479_0.3_6723,X263.127_2.42_2465,X217.1908_2.2_5690,X463.3034_2.63_3031,X449.3243_2.78_3090,X463.3034_2.76_4008,,X263.127_2.42_2465,X369.1813_2.93_9633,X395.3142_3.19_4506,X526.2913_2.85_4038,X265.1044_2.33_9783,,,X526.2913_2.85_4038,X590.3197_2.86_9649,X123.0553_0.3_4171,X445.2936_2.97_4175,,X449.3245_2.85_3249,X764.6159_4.78_9837
